Type,Details,Product,Date,Before,Change,Balance
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000171),Sportsbook,"Sep 21, 2025, 4:06pm ET",$387.30,#ERROR!,$406.39
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00416191163),Sportsbook,"Sep 21, 2025, 2:19pm ET",$397.30,-$10.00,$387.30
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00416158353) (2 of 2),Sportsbook,"Sep 21, 2025, 1:33pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00416158353) (1 of 2),Sportsbook,"Sep 21, 2025, 1:33pm ET",$407.30,-$10.00,$397.30
Bonus,Sports Profit Boost Awarded: 10NFLPBT0921,Sportsbook,"Sep 21, 2025, 12:06pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Sep 20, 2025, 7:32pm ET",0,-1,-1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00415271287) (2 of 2),Sportsbook,"Sep 20, 2025, 2:04pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00415271287) (1 of 2),Sportsbook,"Sep 20, 2025, 2:04pm ET",$417.30,-$10.00,$407.30
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00415151970) (2 of 2),Sportsbook,"Sep 20, 2025, 11:19am ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00415151970) (1 of 2),Sportsbook,"Sep 20, 2025, 11:19am ET",$427.30,-$10.00,$417.30
Bonus,Sports Profit Boost Awarded: 10CYORBTWB920,Sportsbook,"Sep 20, 2025, 11:17am ET",2,1,3
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00415150597) (2 of 2),Sportsbook,"Sep 20, 2025, 11:17am ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00415150597) (1 of 2),Sportsbook,"Sep 20, 2025, 11:17am ET",$437.30,-$10.00,$427.30
Bonus,Sports Profit Boost Awarded: 10BMOCPBT0920,Sportsbook,"Sep 20, 2025, 10:47am ET",2,1,3
Bonus,Sports Boost Builder Token Awarded: 10CFBBBPAR920,Sportsbook,"Sep 20, 2025, 10:46am ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10BWTBPBT0918,Sportsbook,"Sep 20, 2025, 10:01am ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Sep 19, 2025, 12:09am ET",0,-1,-1
Bonus,Sports Profit Boost Awarded: 10NFLPBT0917,Sportsbook,"Sep 18, 2025, 7:51pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Sep 16, 2025, 2:03am ET",0,-1,-1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00413429982) (2 of 2),Sportsbook,"Sep 15, 2025, 7:34pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00413429982) (1 of 2),Sportsbook,"Sep 15, 2025, 7:34pm ET",$447.30,-$10.00,$437.30
Bonus,Sports Profit Boost Awarded: 10MNFPBT0915,Sportsbook,"Sep 15, 2025, 7:30pm ET",0,2,2
Bonus,Automated expiry,Sportsbook,"Sep 15, 2025, 12:05am ET",0,-1,-1
Bonus,Sports Profit Boost Awarded: 10NFLPBT0914,Sportsbook,"Sep 14, 2025, 1:55pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Sep 14, 2025, 12:00am ET",0,-1,-1
Bonus,Sports Profit Boost Awarded: 10TXAMNDPBT913,Sportsbook,"Sep 13, 2025, 10:54pm ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00412017726) (2 of 2),Sportsbook,"Sep 13, 2025, 10:19pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00412017726) (1 of 2),Sportsbook,"Sep 13, 2025, 10:19pm ET",$457.30,-$10.00,$447.30
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000164),Sportsbook,"Sep 13, 2025, 7:39pm ET",$420.80,#ERROR!,$457.30
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00411882060) (2 of 2),Sportsbook,"Sep 13, 2025, 6:50pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00411882060) (1 of 2),Sportsbook,"Sep 13, 2025, 6:50pm ET",$425.80,-$5.00,$420.80
Bonus,Sports Profit Boost Awarded: 10BMOCPBT0913,Sportsbook,"Sep 13, 2025, 5:29pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10BWTBPBT0911,Sportsbook,"Sep 13, 2025, 5:29pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Sep 12, 2025, 12:00am ET",0,-1,-1
Bonus,Sports Profit Boost Awarded: 10TNFPBT0911,Sportsbook,"Sep 11, 2025, 7:48pm ET",0,1,1
Wallet transfer,Transfer in from NY to OH,Sportsbook,"Sep 11, 2025, 7:48pm ET",$0.00,#ERROR!,$425.80
Wallet transfer,Transfer out from OH,Sportsbook,"Sep 4, 2025, 10:19pm ET",$445.80,-$445.80,$0.00
Wallet transfer,Transfer out from OH,Sportsbook,"Sep 4, 2025, 10:19pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00407326117),Sportsbook,"Sep 4, 2025, 7:02pm ET",$450.80,-$5.00,$445.80
Bonus,No sweat token award 5NSTDALPHI831,Sportsbook,"Sep 4, 2025, 6:52pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Sep 2, 2025, 12:13am ET",0,-1,-1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000162),Sportsbook,"Aug 31, 2025, 11:12pm ET",$423.11,#ERROR!,$450.80
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00406131469) (2 of 2),Sportsbook,"Aug 31, 2025, 7:36pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00406131469) (1 of 2),Sportsbook,"Aug 31, 2025, 7:36pm ET",$433.11,-$10.00,$423.11
Bonus,Sports Profit Boost Awarded: 10CFBTCUPBT831,Sportsbook,"Aug 31, 2025, 7:30pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10VTSCNDMPB831,Sportsbook,"Aug 31, 2025, 7:30pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Aug 31, 2025, 2:01am ET",0,-1,-1
Bonus,Automated expiry,Sportsbook,"Aug 31, 2025, 12:00am ET",1,-1,0
Bonus,Sports Bonus Awarded: 5CFBNST0825,Sportsbook,"Aug 30, 2025, 7:20pm ET",$428.11,#ERROR!,$433.11
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00405584975) (2 of 2),Sportsbook,"Aug 30, 2025, 2:06pm ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00405584975) (1 of 2),Sportsbook,"Aug 30, 2025, 2:06pm ET",$438.11,-$10.00,$428.11
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00405342097) (2 of 2),Sportsbook,"Aug 30, 2025, 7:27am ET",4,-1,3
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00405342097) (1 of 2),Sportsbook,"Aug 30, 2025, 7:27am ET",$458.11,-$20.00,$438.11
Bonus,Sports Profit Boost Awarded: 10LSUCLEMPB830,Sportsbook,"Aug 30, 2025, 7:13am ET",3,1,4
Bonus,Sports Profit Boost Awarded: 10BMOCPBT0830,Sportsbook,"Aug 30, 2025, 7:13am ET",2,1,3
Bonus,No sweat token award 5CFBNST0825,Sportsbook,"Aug 30, 2025, 7:13am ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10BWTBPBT0830,Sportsbook,"Aug 30, 2025, 7:13am ET",0,1,1
Wallet transfer,Transfer in from IL to OH,Sportsbook,"Aug 30, 2025, 7:13am ET",$0.00,#ERROR!,$458.11
Wallet transfer,Transfer out from OH,Sportsbook,"Aug 22, 2025, 1:12pm ET",$458.11,-$458.11,$0.00
Bonus,Automated expiry,Sportsbook,"Jul 14, 2025, 12:05am ET",0,-1,-1
Bonus,Sports Profit Boost Awarded: 10TENNISPBT713,Sportsbook,"Jul 13, 2025, 11:33am ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Jun 15, 2025, 10:07pm ET",0,-1,-1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000159),Sportsbook,"Jun 13, 2025, 11:28pm ET",$439.91,#ERROR!,$458.11
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000158),Sportsbook,"Jun 13, 2025, 11:28pm ET",$418.71,#ERROR!,$439.91
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000157),Sportsbook,"Jun 13, 2025, 11:28pm ET",$390.75,#ERROR!,$418.71
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00382492430),Sportsbook,"Jun 13, 2025, 10:36pm ET",$400.75,-$10.00,$390.75
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00382485089),Sportsbook,"Jun 13, 2025, 10:18pm ET",$410.75,-$10.00,$400.75
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00382457352) (2 of 2),Sportsbook,"Jun 13, 2025, 9:36pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00382457352) (1 of 2),Sportsbook,"Jun 13, 2025, 9:36pm ET",$420.75,-$10.00,$410.75
Bonus,Sports Profit Boost Awarded: 10NBAPBT0613,Sportsbook,"Jun 13, 2025, 8:51pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10USATTPB0615,Sportsbook,"Jun 12, 2025, 9:19pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Jun 12, 2025, 12:09am ET",0,-1,-1
Bonus,Sports Profit Boost Awarded: 10NBAPBT0611,Sportsbook,"Jun 11, 2025, 8:35pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Jun 9, 2025, 12:15am ET",0,-1,-1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000156),Sportsbook,"Jun 8, 2025, 2:58pm ET",$384.50,#ERROR!,$420.75
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00380748635) (2 of 2),Sportsbook,"Jun 8, 2025, 11:43am ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00380748635) (1 of 2),Sportsbook,"Jun 8, 2025, 11:43am ET",$389.50,-$5.00,$384.50
Bonus,Sports Profit Boost Awarded: 10ANYTENNPB608,Sportsbook,"Jun 8, 2025, 11:38am ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10NBAPBT0608,Sportsbook,"Jun 8, 2025, 9:25am ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000155),Sportsbook,"Jun 7, 2025, 7:17pm ET",$351.06,#ERROR!,$389.50
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00380477058) (2 of 2),Sportsbook,"Jun 7, 2025, 3:13pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00380477058) (1 of 2),Sportsbook,"Jun 7, 2025, 3:13pm ET",$361.06,-$10.00,$351.06
Bonus,Sports Profit Boost Awarded: 10ANYBETPBT607,Sportsbook,"Jun 7, 2025, 3:09pm ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00380014939) (2 of 2),Sportsbook,"Jun 5, 2025, 10:19pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00380014939) (1 of 2),Sportsbook,"Jun 5, 2025, 10:19pm ET",$371.06,-$10.00,$361.06
Bonus,Sports Profit Boost Awarded: 10NBAPBT0605,Sportsbook,"Jun 5, 2025, 8:21pm ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00375803984) (2 of 2),Sportsbook,"May 23, 2025, 2:57pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00375803984) (1 of 2),Sportsbook,"May 23, 2025, 2:57pm ET",$381.06,-$10.00,$371.06
Bonus,Sports Profit Boost Awarded: 10MLBRFIPB523,Sportsbook,"May 23, 2025, 2:55pm ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00359681694) (2 of 2),Sportsbook,"Apr 11, 2025, 3:28pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00359681694) (1 of 2),Sportsbook,"Apr 11, 2025, 3:28pm ET",$391.06,-$10.00,$381.06
Bonus,Sports Profit Boost Awarded: 10MASTERSRD2PB,Sportsbook,"Apr 11, 2025, 3:26pm ET",0,1,1
Wallet transfer,Transfer in from NJ to OH,Sportsbook,"Apr 11, 2025, 3:26pm ET",$0.00,#ERROR!,$391.06
Wallet transfer,Transfer out from OH,Sportsbook,"Apr 8, 2025, 9:10pm ET",$391.06,-$391.06,$0.00
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000151),Sportsbook,"Apr 7, 2025, 11:11pm ET",$368.76,#ERROR!,$391.06
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00358240885) (2 of 2),Sportsbook,"Apr 7, 2025, 10:10pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00358240885) (1 of 2),Sportsbook,"Apr 7, 2025, 10:10pm ET",$378.76,-$10.00,$368.76
Bonus,Automated expiry,Sportsbook,"Apr 7, 2025, 9:05pm ET",1,-1,0
Bonus,Sports Profit Boost Awarded: 10CBBPBT0407,Sportsbook,"Apr 7, 2025, 7:08pm ET",1,1,2
Bonus,Automated expiry,Sportsbook,"Apr 7, 2025, 12:45am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Apr 6, 2025, 12:14am ET",2,-1,1
Bonus,No sweat token award 5MLBNSSGP0405,Sportsbook,"Apr 5, 2025, 9:39am ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10CBBPBT0405,Sportsbook,"Apr 5, 2025, 9:39am ET",1,1,2
Bonus,Automated expiry,Sportsbook,"Apr 5, 2025, 2:39am ET",1,-1,0
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000150),Sportsbook,"Apr 4, 2025, 9:07pm ET",$359.75,#ERROR!,$378.76
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000149),Sportsbook,"Apr 4, 2025, 9:07pm ET",$338.35,#ERROR!,$359.75
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000148),Sportsbook,"Apr 4, 2025, 8:23pm ET",$317.45,#ERROR!,$338.35
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00356691518),Sportsbook,"Apr 4, 2025, 7:18pm ET",$327.45,-$10.00,$317.45
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00356679940) (2 of 2),Sportsbook,"Apr 4, 2025, 7:05pm ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00356679940) (1 of 2),Sportsbook,"Apr 4, 2025, 7:05pm ET",$337.45,-$10.00,$327.45
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00356673006) (2 of 2),Sportsbook,"Apr 4, 2025, 6:58pm ET",4,-1,3
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00356673006) (1 of 2),Sportsbook,"Apr 4, 2025, 6:58pm ET",$347.45,-$10.00,$337.45
Bonus,Sports Profit Boost Awarded: 10WCBBPBT0404,Sportsbook,"Apr 4, 2025, 6:55pm ET",3,1,4
Bonus,Sports Profit Boost Awarded: 10OHMLBPBT0404,Sportsbook,"Apr 4, 2025, 2:16pm ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10MLBPNPBT0404,Sportsbook,"Apr 4, 2025, 2:15pm ET",1,1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00356266877) (2 of 2),Sportsbook,"Apr 3, 2025, 7:57pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00356266877) (1 of 2),Sportsbook,"Apr 3, 2025, 7:57pm ET",$357.45,-$10.00,$347.45
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000146),Sportsbook,"Apr 3, 2025, 7:52pm ET",$337.55,#ERROR!,$357.45
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00356238664) (2 of 2),Sportsbook,"Apr 3, 2025, 7:10pm ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00356238664) (1 of 2),Sportsbook,"Apr 3, 2025, 7:10pm ET",$347.55,-$10.00,$337.55
Bonus,Sports Profit Boost Awarded: 10MLBPBTRS0403,Sportsbook,"Apr 3, 2025, 7:09pm ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10MLBPBTRS0403,Sportsbook,"Apr 3, 2025, 7:09pm ET",1,1,2
Bonus,Automated expiry,Sportsbook,"Mar 31, 2025, 1:02am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Mar 31, 2025, 12:50am ET",1,-1,0
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000145),Sportsbook,"Mar 30, 2025, 7:24pm ET",$326.95,#ERROR!,$347.55
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00354599755) (2 of 2),Sportsbook,"Mar 30, 2025, 6:18pm ET",4,-1,3
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00354599755) (1 of 2),Sportsbook,"Mar 30, 2025, 6:18pm ET",$336.95,-$10.00,$326.95
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000144),Sportsbook,"Mar 30, 2025, 1:51pm ET",$319.26,#ERROR!,$336.95
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00354397361),Sportsbook,"Mar 30, 2025, 1:18pm ET",$329.26,-$10.00,$319.26
Bonus,Sports Profit Boost Awarded: 10MLBSNRS0330,Sportsbook,"Mar 30, 2025, 1:18pm ET",3,1,4
Bonus,Sports Profit Boost Awarded: 10MLBSNRS0330,Sportsbook,"Mar 30, 2025, 1:18pm ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10CBBPBT0330,Sportsbook,"Mar 30, 2025, 1:15pm ET",1,1,2
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000143),Sportsbook,"Mar 29, 2025, 8:32pm ET",$302.63,#ERROR!,$329.26
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00354111592) (2 of 2),Sportsbook,"Mar 29, 2025, 7:57pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00354111592) (1 of 2),Sportsbook,"Mar 29, 2025, 7:57pm ET",$312.63,-$10.00,$302.63
Bonus,Sports Profit Boost Awarded: 10CBBPBT0329,Sportsbook,"Mar 29, 2025, 6:06pm ET",1,1,2
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000142),Sportsbook,"Mar 28, 2025, 9:29pm ET",$286.53,#ERROR!,$312.63
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00353567195) (2 of 2),Sportsbook,"Mar 28, 2025, 7:52pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00353567195) (1 of 2),Sportsbook,"Mar 28, 2025, 7:52pm ET",$296.53,-$10.00,$286.53
Bonus,Sports Profit Boost Awarded: 10CBBPBT0328,Sportsbook,"Mar 28, 2025, 7:36pm ET",1,1,2
Bonus,Automated expiry,Sportsbook,"Mar 28, 2025, 2:16am ET",1,-1,0
Wallet transfer,Transfer in from NY to OH,Sportsbook,"Mar 27, 2025, 8:20pm ET",1,1,2
Wallet transfer,Transfer in from NY to OH,Sportsbook,"Mar 27, 2025, 8:20pm ET",$0.00,#ERROR!,$296.53
Wallet transfer,Transfer in from NY to OH,Sportsbook,"Mar 27, 2025, 8:20pm ET",0,1,1
Wallet transfer,Transfer out from OH,Sportsbook,"Mar 27, 2025, 8:25am ET",1,-1,0
Wallet transfer,Transfer out from OH,Sportsbook,"Mar 27, 2025, 8:25am ET",$296.53,-$296.53,$0.00
Bonus,Automated expiry,Sportsbook,"Mar 24, 2025, 2:47am ET",1,-1,0
Bonus,Sports Profit Boost Awarded: 10CBBPBT0323,Sportsbook,"Mar 23, 2025, 2:01pm ET",1,1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00350882126) (2 of 2),Sportsbook,"Mar 22, 2025, 1:30pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00350882126) (1 of 2),Sportsbook,"Mar 22, 2025, 1:30pm ET",$306.53,-$10.00,$296.53
Bonus,Sports Profit Boost Awarded: 10CBBPBT0322,Sportsbook,"Mar 22, 2025, 1:04pm ET",1,1,2
Bonus,Automated expiry,Sportsbook,"Mar 21, 2025, 2:13am ET",1,-1,0
Bonus,Sports Profit Boost Awarded: 10CBBPBT0320,Sportsbook,"Mar 20, 2025, 10:04pm ET",1,1,2
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000140),Sportsbook,"Mar 19, 2025, 11:30pm ET",$271.53,#ERROR!,$306.53
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00349448181) (2 of 2),Sportsbook,"Mar 19, 2025, 9:46pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00349448181) (1 of 2),Sportsbook,"Mar 19, 2025, 9:46pm ET",$281.53,-$10.00,$271.53
Bonus,No sweat token award 5CBBFNST0319,Sportsbook,"Mar 19, 2025, 2:45pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10CBBPBT0319,Sportsbook,"Mar 19, 2025, 2:44pm ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00349088086) (2 of 2),Sportsbook,"Mar 18, 2025, 9:46pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00349088086) (1 of 2),Sportsbook,"Mar 18, 2025, 9:46pm ET",$291.53,-$10.00,$281.53
Bonus,Sports Profit Boost Awarded: 10CBBPBT0318,Sportsbook,"Mar 18, 2025, 9:31pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Mar 16, 2025, 3:00am ET",0,-1,-1
Bonus,Automated expiry,Sportsbook,"Mar 15, 2025, 11:33pm ET",1,-1,0
Bonus,Sports Profit Boost Awarded: 10CBBMLPBT0315,Sportsbook,"Mar 15, 2025, 12:16pm ET",1,1,2
Bonus,Automated expiry,Sportsbook,"Mar 14, 2025, 11:30pm ET",1,-1,0
Bonus,Sports Profit Boost Awarded: 10CBBPARPB0315,Sportsbook,"Mar 14, 2025, 8:43pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10CBBMLPBT0314,Sportsbook,"Mar 14, 2025, 8:43pm ET",0,1,1
Wallet transfer,Transfer in from MA to OH,Sportsbook,"Mar 14, 2025, 8:43pm ET",$0.00,#ERROR!,$291.53
Wallet transfer,Transfer out from OH,Sportsbook,"Mar 12, 2025, 10:14pm ET",$291.53,-$291.53,$0.00
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000138),Sportsbook,"Mar 8, 2025, 6:15pm ET",$272.27,#ERROR!,$291.53
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00345035557) (2 of 2),Sportsbook,"Mar 8, 2025, 5:45pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00345035557) (1 of 2),Sportsbook,"Mar 8, 2025, 5:45pm ET",$282.27,-$10.00,$272.27
Bonus,No sweat token award 10CBBNST0308,Sportsbook,"Mar 8, 2025, 5:21pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Mar 6, 2025, 12:22am ET",0,-1,-1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000137),Sportsbook,"Mar 5, 2025, 9:10pm ET",$247.27,#ERROR!,$282.27
Bonus,Sports Profit Boost Awarded: 10CBBPBT0305,Sportsbook,"Mar 5, 2025, 8:39pm ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00343720307) (2 of 2),Sportsbook,"Mar 5, 2025, 6:59pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00343720307) (1 of 2),Sportsbook,"Mar 5, 2025, 6:59pm ET",$257.27,-$10.00,$247.27
Bonus,Sports Profit Boost Awarded: 10BWTBCBBPB305,Sportsbook,"Mar 5, 2025, 6:55pm ET",0,1,1
Wallet transfer,Transfer in from NY to OH,Sportsbook,"Mar 5, 2025, 6:54pm ET",$0.00,#ERROR!,$257.27
Wallet transfer,Transfer out from OH,Sportsbook,"Feb 25, 2025, 7:38pm ET",$257.27,-$257.27,$0.00
Wallet transfer,Transfer in from NY to OH,Sportsbook,"Feb 23, 2025, 3:36pm ET",$0.00,#ERROR!,$257.27
Wallet transfer,Transfer out from OH,Sportsbook,"Feb 22, 2025, 10:04am ET",$267.27,-$267.27,$0.00
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00334012541),Sportsbook,"Feb 9, 2025, 12:30pm ET",$279.27,-$12.00,$267.27
Bonus,Automated expiry,Sportsbook,"Feb 9, 2025, 3:17am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Feb 8, 2025, 8:04pm ET",2,-1,1
Bonus,Sports Profit Boost Awarded: 10BBCBBPAR0208,Sportsbook,"Feb 8, 2025, 7:15pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10BMOCPBT208,Sportsbook,"Feb 8, 2025, 7:14pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Feb 6, 2025, 3:00am ET",1,-1,0
Bonus,Sports Profit Boost Awarded: 10CBBPARPB0205,Sportsbook,"Feb 4, 2025, 8:49pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Feb 2, 2025, 12:13am ET",1,-1,0
Bonus,Sports Profit Boost Awarded: 10BMOCPBT201,Sportsbook,"Feb 1, 2025, 4:36pm ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00329375974),Sportsbook,"Jan 29, 2025, 8:26pm ET",$289.27,-$10.00,$279.27
Bonus,Automated expiry,Sportsbook,"Jan 26, 2025, 6:31pm ET",1,-1,0
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000134),Sportsbook,"Jan 26, 2025, 6:28pm ET",$262.18,#ERROR!,$289.27
Bonus,Sports Profit Boost Awarded: 10AFCPBTS0126,Sportsbook,"Jan 26, 2025, 4:36pm ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00327904018) (2 of 2),Sportsbook,"Jan 26, 2025, 3:40pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00327904018) (1 of 2),Sportsbook,"Jan 26, 2025, 3:40pm ET",$272.18,-$10.00,$262.18
Bonus,Sports Profit Boost Awarded: 10NFLSGPPBT126,Sportsbook,"Jan 26, 2025, 3:21pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000133),Sportsbook,"Jan 25, 2025, 10:22pm ET",$250.38,#ERROR!,$272.18
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00327340263),Sportsbook,"Jan 25, 2025, 9:14pm ET",$260.38,-$10.00,$250.38
Bonus,Automated expiry,Sportsbook,"Jan 21, 2025, 12:32am ET",1,-1,0
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000132),Sportsbook,"Jan 20, 2025, 11:11pm ET",$241.61,#ERROR!,$260.38
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00325238461) (2 of 2),Sportsbook,"Jan 20, 2025, 8:55pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00325238461) (1 of 2),Sportsbook,"Jan 20, 2025, 8:55pm ET",$251.61,-$10.00,$241.61
Bonus,Sports Profit Boost Awarded: 10OSUNDLPB120,Sportsbook,"Jan 20, 2025, 5:42pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10CFBPOPBT0120,Sportsbook,"Jan 20, 2025, 5:42pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Jan 20, 2025, 3:55am ET",1,-1,0
Bonus,Sports Profit Boost Awarded: 10NFLPPBT0119,Sportsbook,"Jan 19, 2025, 5:29pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Jan 19, 2025, 4:53am ET",1,-1,0
